ResourceType      Locations    Name                       Zones    Restrictions
virtualMachines   westeurope   Standard_D64ds_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64ds_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64d_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64d_v5           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64s_v3           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64s_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64s_v5           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64_v3            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64_v4            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D64_v5            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D8ads_v5          1,3      None
